resource,method,position,source,target,ligand_complex,receptor_complex,score
consensus,SingleCellSignalR magnitude,41,CD8 T memory,T proliferating,HLA-B,CD3D,0.9728453
consensus,SingleCellSignalR magnitude,42,Monocyte classical,T activated,S100A8,CD69,0.97272635
consensus,SingleCellSignalR magnitude,43,NK,T proliferating,HLA-B,CD3D,0.9727101
consensus,SingleCellSignalR magnitude,44,CD8 T memory,NK,HLA-B,KLRD1,0.9726885
consensus,SingleCellSignalR magnitude,45,Erythroid late,Pre-B small,HMGB1,CXCR4,0.9726065
consensus,SingleCellSignalR magnitude,46,Erythroid late,B naive,HMGB1,CXCR4,0.9725944
consensus,SingleCellSignalR magnitude,47,NK,NK,HLA-B,KLRD1,0.9725525
consensus,SingleCellSignalR magnitude,48,HSPC,NK,B2M,KLRD1,0.9725048
consensus,SingleCellSignalR magnitude,49,T activated,T proliferating,HLA-B,CD3D,0.9724241
consensus,SingleCellSignalR magnitude,50,Granulocyte precursor,NK,B2M,KLRD1,0.97238195
consensus,SingleCellSignalR magnitude,51,T activated,NK,HLA-B,KLRD1,0.97226495
consensus,SingleCellSignalR magnitude,52,Erythroid early,T activated,HMGB1,CXCR4,0.9722412
consensus,SingleCellSignalR magnitude,53,T proliferating,T proliferating,HLA-B,CD3D,0.9721147
consensus,SingleCellSignalR magnitude,54,HSPC,CD8 T memory,HMGB1,CXCR4,0.9721014
consensus,SingleCellSignalR magnitude,55,T proliferating,Pre-B small,HMGB1,CXCR4,0.9720623
consensus,SingleCellSignalR magnitude,56,T proliferating,B naive,HMGB1,CXCR4,0.97204995
consensus,SingleCellSignalR magnitude,57,Platelet,CD8 T memory,HMGB1,CXCR4,0.9719737
consensus,SingleCellSignalR magnitude,58,T proliferating,NK,HLA-B,KLRD1,0.9719538
consensus,SingleCellSignalR magnitude,59,Erythroid late,T activated,HMGB1,CXCR4,0.97184646
consensus,SingleCellSignalR magnitude,60,Erythroid early,T proliferating,HMGB1,CXCR4,0.9717867
consensus,SingleCellSignalR magnitude,61,CD8 T cytotoxic,CD8 T memory,HLA-B,CD3D,0.9716702
consensus,SingleCellSignalR magnitude,62,HSPC,Pre-B large,HMGB1,CXCR4,0.9716508
consensus,SingleCellSignalR magnitude,63,Platelet,Pre-B large,HMGB1,CXCR4,0.9715211
consensus,SingleCellSignalR magnitude,64,Monocyte classical,CD8 T memory,S100A8,CD69,0.97149223
consensus,SingleCellSignalR magnitude,65,Erythroid late,T proliferating,HMGB1,CXCR4,0.97138566
consensus,SingleCellSignalR magnitude,66,CD8 T memory,CD8 T memory,HLA-B,CD3D,0.97132134
consensus,SingleCellSignalR magnitude,67,T proliferating,T activated,HMGB1,CXCR4,0.97128767
consensus,SingleCellSignalR magnitude,68,Monocyte non-classical,T proliferating,HLA-B,CD3D,0.9712323
consensus,SingleCellSignalR magnitude,69,Plasmacytoid DC,Dendritic cell,APP,CD74,0.9712005
consensus,SingleCellSignalR magnitude,70,NK,CD8 T memory,HLA-B,CD3D,0.9711787
consensus,SingleCellSignalR magnitude,71,Plasmacytoid DC,B naive,APP,CD74,0.97110164
consensus,SingleCellSignalR magnitude,72,CD8 T cytotoxic,CD4 T memory,HLA-B,CD3D,0.97108656
consensus,SingleCellSignalR magnitude,73,Monocyte non-classical,NK,HLA-B,KLRD1,0.9710665
consensus,SingleCellSignalR magnitude,74,CD4 T memory,T proliferating,HLA-B,CD3D,0.9710585
