cell_type,library,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
Granulocyte precursor,GO_BP,Regulation Of Peptidyl-Serine Phosphorylation (GO:0033135),1/85,0.5692278456255722,0.5999520327709349,1.7835565244472127,1.0049886089343607,TXN
Granulocyte precursor,GO_BP,Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010799),1/33,0.27858551144434035,0.3626631207541187,4.649277038750723,5.941916574597118,AZU1
Granulocyte precursor,GO_BP,Regulation Of Phagocytosis (GO:0050764),6/49,8.273302685996322e-06,0.0003927459777525211,15.43075377478356,180.57803761173597,FCER1G;PYCARD;CALR;CYBA;AZU1;PRTN3
Granulocyte precursor,GO_BP,"Regulation Of Phagocytosis, Engulfment (GO:0060099)",1/10,0.09416278010015013,0.2275338081015333,15.92362485160269,37.62323078239981,APLP2
Granulocyte precursor,GO_BP,Regulation Of Phosphatase Activity (GO:0010921),1/17,0.15477441859489557,0.2659322650054983,9.164957849168376,17.099855416577334,HSP90B1
Granulocyte precursor,GO_BP,Regulation Of Phospholipase A2 Activity (GO:0032429),1/4,0.03878041058442312,0.1657919919955367,43.234156820622985,140.5040940045136,ANXA1
Granulocyte precursor,GO_BP,Regulation Of Phospholipid Transport (GO:2001138),1/6,0.05760571121225541,0.18710519911379397,27.50991114149009,78.51696070971622,TSPO
Granulocyte precursor,GO_BP,Regulation Of Phosphoprotein Phosphatase Activity (GO:0043666),1/34,0.28569479440620926,0.3682684905592974,4.510268207833016,5.6506046878458545,HSP90B1
Granulocyte precursor,GO_BP,Regulation Of Phosphorylation (GO:0042325),1/76,0.528971343755754,0.5641059717542912,1.9970621919036,1.2717711804241902,HSPB1
Granulocyte precursor,GO_BP,Regulation Of Plasma Membrane Repair (GO:1905684),1/5,0.04823937131474761,0.17749672348368936,33.624895572263995,101.93655281856934,ANXA2
Granulocyte precursor,GO_BP,Regulation Of Plasminogen Activation (GO:0010755),1/16,0.14636923182674635,0.26176180691788176,9.756730536017463,18.748756482343055,ENO1
Granulocyte precursor,GO_BP,Regulation Of Platelet Activation (GO:0010543),2/26,0.026810628970918415,0.1349873131114185,10.33490978255282,37.40159272428611,FCER1G;FLNA
Granulocyte precursor,GO_BP,Regulation Of Platelet Aggregation (GO:0090330),1/23,0.20350399527467847,0.3079196577716339,6.718964076858814,10.69705872904765,CTSG
Granulocyte precursor,GO_BP,Regulation Of Podosome Assembly (GO:0071801),1/7,0.06688033269427238,0.19445086668656658,23.27646038172354,62.95934167793322,LCP1
Granulocyte precursor,GO_BP,Regulation Of Postsynapse Organization (GO:0099175),1/22,0.19558102695949567,0.3003343081365263,7.031823745410037,11.474393044896367,CFL1
Granulocyte precursor,GO_BP,Regulation Of Potassium Ion Transmembrane Transport (GO:1901379),3/27,0.0023057280367537888,0.027764808442576873,14.542133815551537,88.30505426480465,FLNA;YWHAE;CD63
Granulocyte precursor,GO_BP,Regulation Of Potassium Ion Transmembrane Transporter Activity (GO:1901016),1/23,0.20350399527467847,0.3079196577716339,6.718964076858814,10.69705872904765,YWHAE
Granulocyte precursor,GO_BP,Regulation Of Potassium Ion Transport (GO:0043266),1/21,0.1875796446245826,0.2946223766114368,7.375206308454062,12.342789442048794,CD63
Granulocyte precursor,GO_BP,Regulation Of Primary Metabolic Process (GO:0080090),1/33,0.27858551144434035,0.3626631207541187,4.649277038750723,5.941916574597118,PSAP
