source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Dendritic cell,NK,APP,PTGER2,0.29908937,0.0,0.08940935,0.5014778767541783,0.509745344888957,0.01310218,0.7957829,0.058529996949489675,1.0
Dendritic cell,NK,APP,LRP10,0.29133898,0.0,0.084877335,0.3997586508306805,0.41055785052433735,0.008589322,0.7915237,0.1013327283901879,1.0
Dendritic cell,NK,ADAM28,ITGA4,0.27772322,0.0,0.07678938,0.3543937836296419,0.32178664859698664,0.015265147,0.78314066,0.14503319362503272,1.0
Dendritic cell,NK,ADAM17,ITGB1,0.27085927,0.0,0.05395604,0.12012609882918315,0.14087837745225448,0.0033067977,0.75168425,1.0,1.0
Dendritic cell,NK,ADAM15,ITGB1,0.30906975,0.0,0.08530196,0.42166091128419525,0.34434087891258236,0.011782069,0.791935,0.0778134409392772,1.0
Dendritic cell,NK,ADAM10,CD44,0.26997316,1.0,0.058386426,-0.14296607266975808,-0.33505191427448155,0.0019172825,0.7589758,1.0,1.0
Dendritic cell,Monocyte non-classical,TIMP2,ITGB1,0.27886638,0.0,0.058617767,0.2145757147673158,0.09995454421445507,0.006588174,0.7593373,0.4916442682538423,1.0
T proliferating,CD8 T memory,S100A8,ITGB2,0.44038376,0.991,0.07900365,-0.09036662923513294,-2.390205122835177,0.00054218946,0.785545,1.0,1.0
T proliferating,CD8 T memory,PTDSS1,JMJD6,0.24824896,0.0,0.060790256,0.37866550278617256,0.3488659465919133,0.010880368,0.76264673,0.11528913727466886,1.0
T proliferating,CD8 T memory,LGALS9,CD47,0.29225588,0.362,0.07728718,0.025924915018860115,-0.03950396471007392,0.001531472,0.7836889,1.0,1.0
Dendritic cell,Monocyte non-classical,TGFB1,LPP,0.26152232,0.0,0.061941613,0.188163041561289,0.012867095816914392,0.0062213284,0.76434076,0.6763809077056187,1.0
Dendritic cell,Monocyte non-classical,SIRPA,CD47,0.30898356,0.0,0.061766982,0.3015464465157448,0.14939605977875697,0.01205707,0.76408637,0.2936626446561585,1.0
Dendritic cell,Monocyte non-classical,SERPINA1,LRP1,0.28759927,0.0,0.080979094,0.4786659681611782,0.17857523108742313,0.034697734,0.78761786,0.2365323161698083,1.0
Dendritic cell,Monocyte non-classical,SEMA4A,PLXNB2,0.279658,0.0,0.076718904,1.1219908872131792,0.5529885611985845,0.088620126,0.7830627,0.058529996949489675,1.0
Dendritic cell,Monocyte non-classical,SELPLG,SELL,0.2043345,1.0,0.041751854,-0.09545558330509966,-0.4390676083547264,0.0018620646,0.7269896,1.0,1.0
