gene,bin,scaled,lineage
ASIP,37,0.41997916,Plasmacytoid DC
ASIP,38,-0.122318216,Plasmacytoid DC
ASIP,39,-0.019963125,Plasmacytoid DC
AC119428.2,0,-1.3953252,Plasmacytoid DC
AC119428.2,1,-0.9419924,Plasmacytoid DC
AC119428.2,2,-0.48010013,Plasmacytoid DC
AC119428.2,3,-0.7104343,Plasmacytoid DC
AC119428.2,4,0.033709884,Plasmacytoid DC
AC119428.2,5,0.25005463,Plasmacytoid DC
AC119428.2,6,-1.799223,Plasmacytoid DC
AC119428.2,7,-0.056115698,Plasmacytoid DC
AC119428.2,8,-1.1784413,Plasmacytoid DC
AC119428.2,9,-0.30864456,Plasmacytoid DC
AC119428.2,10,-1.3134147,Plasmacytoid DC
AC119428.2,11,0.20211148,Plasmacytoid DC
AC119428.2,12,0.026274746,Plasmacytoid DC
AC119428.2,13,0.609553,Plasmacytoid DC
AC119428.2,14,-0.37624878,Plasmacytoid DC
AC119428.2,15,0.06204579,Plasmacytoid DC
AC119428.2,16,-1.2065278,Plasmacytoid DC
AC119428.2,17,-0.54124564,Plasmacytoid DC
AC119428.2,18,-1.3493173,Plasmacytoid DC
AC119428.2,19,-0.5083297,Plasmacytoid DC
AC119428.2,20,-0.19273126,Plasmacytoid DC
AC119428.2,21,-0.5142146,Plasmacytoid DC
AC119428.2,22,1.8436949,Plasmacytoid DC
AC119428.2,23,0.047793597,Plasmacytoid DC
AC119428.2,24,-0.29334494,Plasmacytoid DC
AC119428.2,25,0.45632073,Plasmacytoid DC
AC119428.2,26,3.1182075,Plasmacytoid DC
AC119428.2,27,0.56668603,Plasmacytoid DC
AC119428.2,28,0.8055431,Plasmacytoid DC
AC119428.2,29,1.753176,Plasmacytoid DC
AC119428.2,30,-0.17698243,Plasmacytoid DC
AC119428.2,31,-1.2233788,Plasmacytoid DC
AC119428.2,32,0.24367933,Plasmacytoid DC
AC119428.2,33,1.3180454,Plasmacytoid DC
AC119428.2,34,1.9664338,Plasmacytoid DC
AC119428.2,35,0.5904077,Plasmacytoid DC
AC119428.2,36,-0.092488185,Plasmacytoid DC
AC119428.2,37,0.268882,Plasmacytoid DC
AC119428.2,38,0.14030512,Plasmacytoid DC
AC119428.2,39,0.35557815,Plasmacytoid DC
LRRC26,0,-1.41353,Plasmacytoid DC
LRRC26,1,0.18095599,Plasmacytoid DC
LRRC26,2,-1.41353,Plasmacytoid DC
LRRC26,3,-0.5790477,Plasmacytoid DC
LRRC26,4,-0.6139863,Plasmacytoid DC
LRRC26,5,-0.6299678,Plasmacytoid DC
LRRC26,6,-0.95886904,Plasmacytoid DC
LRRC26,7,-0.45655993,Plasmacytoid DC
LRRC26,8,-0.6463434,Plasmacytoid DC
LRRC26,9,-0.65582794,Plasmacytoid DC
LRRC26,10,-0.7801161,Plasmacytoid DC
LRRC26,11,-0.77270675,Plasmacytoid DC
LRRC26,12,-0.92365336,Plasmacytoid DC
LRRC26,13,-1.41353,Plasmacytoid DC
LRRC26,14,0.71892273,Plasmacytoid DC
LRRC26,15,1.0269265,Plasmacytoid DC
LRRC26,16,-0.9374156,Plasmacytoid DC
LRRC26,17,-1.41353,Plasmacytoid DC
LRRC26,18,0.6431013,Plasmacytoid DC
LRRC26,19,-0.9223507,Plasmacytoid DC
LRRC26,20,-0.58110106,Plasmacytoid DC
LRRC26,21,-0.41993096,Plasmacytoid DC
LRRC26,22,0.2719327,Plasmacytoid DC
LRRC26,23,0.606908,Plasmacytoid DC
LRRC26,24,1.0126413,Plasmacytoid DC
LRRC26,25,-0.14917038,Plasmacytoid DC
LRRC26,26,-1.41353,Plasmacytoid DC
LRRC26,27,0.69245744,Plasmacytoid DC
LRRC26,28,2.1603544,Plasmacytoid DC
LRRC26,29,0.3771049,Plasmacytoid DC
LRRC26,30,0.87047094,Plasmacytoid DC
LRRC26,31,0.208475,Plasmacytoid DC
LRRC26,32,0.5509926,Plasmacytoid DC
LRRC26,33,-0.068006985,Plasmacytoid DC
LRRC26,34,1.8664122,Plasmacytoid DC
LRRC26,35,0.31193787,Plasmacytoid DC
LRRC26,36,1.6765035,Plasmacytoid DC
LRRC26,37,0.5033426,Plasmacytoid DC
LRRC26,38,1.792434,Plasmacytoid DC
LRRC26,39,1.6908245,Plasmacytoid DC
IL3RA,0,0.025961122,Plasmacytoid DC
IL3RA,1,-0.6172318,Plasmacytoid DC
IL3RA,2,-1.457356,Plasmacytoid DC
IL3RA,3,-0.2699602,Plasmacytoid DC
IL3RA,4,0.11982129,Plasmacytoid DC
IL3RA,5,-0.9505228,Plasmacytoid DC
IL3RA,6,0.6422793,Plasmacytoid DC
IL3RA,7,0.7314346,Plasmacytoid DC
IL3RA,8,-1.0922513,Plasmacytoid DC
IL3RA,9,-0.041473668,Plasmacytoid DC
IL3RA,10,0.027670093,Plasmacytoid DC
IL3RA,11,-1.0813849,Plasmacytoid DC
IL3RA,12,-0.961426,Plasmacytoid DC
IL3RA,13,-0.13766664,Plasmacytoid DC
IL3RA,14,-0.09431349,Plasmacytoid DC
