,Platelet,Plasmacytoid DC,Pre-B large,Erythroid late,Erythroid early,B naive,Monocyte classical,NK
NMNAT1,-0.0024813407716250207,-0.004080836405891297,0.008809997613025436,-0.002264203415724689,0.011083079624542367,0.012589278823323488,0.009774580097726596,-0.021073325075586045
RBP7,-0.020774438440292795,0.015826753531674127,-0.032624864806893604,-0.03664965560338133,-0.03932231612322181,-0.07610296613314317,0.43017714357213493,-0.22719480274428014
UBE4B,-0.004570753767037749,0.010013955485349916,0.014133724989471895,0.005972367479592435,0.06022335527156047,-0.015401178850915383,0.012600005103808954,-0.02443517343603684
KIF1B,-0.00739882625573682,0.0032722124438191694,-0.0069691408909060455,-0.01628225205343407,-0.00669896584801973,-0.034362746777505046,0.10284610599709598,-0.04080430346813838
PGD,0.010451487878639169,0.06537502740629246,0.0738550293107538,0.04260665694713002,0.14960176494087965,-0.08338162585349622,0.3105947638174467,-0.25429793820397734
CENPS-CORT,-0.0017278968431312508,-0.002641998866666651,0.049773642429013276,0.02245616568607915,0.03798467988910101,-0.012250214373903664,-0.009613050742577012,-0.012107921616304165
CENPS,-0.0031710826178221125,0.0022607336504027946,0.11170448089623711,0.10689552969513669,0.20853997454962167,-0.02050615231830215,-0.029588376944769214,-0.08558696664487452
DFFA,-0.007039115684663244,0.030840446962220422,0.04784542468612027,0.012493159513190143,0.09348426338539241,-0.009517566494232481,-0.03472459876751229,-0.018471184366147864
PEX14,-0.006416526261725529,0.007431164109988667,0.010283285644292296,0.006212771643395379,0.05693613479714218,-0.016272707651098395,-0.018480354290191212,0.0014945347844975208
CASZ1,-0.003928994714606184,0.013165745922065191,0.005624210435016604,-0.013314391589048472,-0.010189822436171227,0.02403152734319564,-0.020373969043559016,-0.0001706819813697384
TARDBP,-0.004266588746525624,0.02632851471895587,0.07238055424433233,0.040835257113698946,0.15634383508870742,-0.01716950192174049,0.0005006835658533222,-0.07186426798802331
AL109811.3,-0.002127897647274615,0.006802607299913743,0.005069430520179826,-0.0034096669840025223,0.005173625199590827,0.009001467596457664,-0.01117962337386213,-0.0019403902132997918
SRM,-0.013289160266165261,0.034254154120301056,0.07839963210058527,0.11041334091136558,0.26676745805111773,-0.04897658194620276,-0.008441607544935,-0.09868937524900148
EXOSC10,-0.004686041145381239,0.004572111440429215,0.05254997268922822,0.035279603712959406,0.13703537884048353,-0.02712907508740784,-0.020543085184285832,-0.03234036806184295
AL109811.2,-0.0019247189539453764,0.008894960224849643,0.017898031103766192,0.0013291952846690783,0.021861945597308082,-0.007628124384610486,0.011425230855620366,-0.01573074491864956
MTOR,-0.0021793432678503576,0.0032515568547601824,0.01839816373625853,0.0051077889259198775,0.048847514416130194,-0.0001746930680471646,-0.01249704356559088,-0.013449761906414441
UBIAD1,-0.005003163584517577,-0.0005309176073305488,0.006009903977137964,0.00622976220037803,0.05351679791525142,0.01660778888280029,-0.045661963817158834,-0.0005703008378419021
FBXO2,-0.0026260875957040885,-0.012728294363456879,-0.010120021505377153,-0.011941996686703904,-0.01347010425712957,0.0003357088491391877,-0.035368234592243475,0.03799581361397876
FBXO44,-0.004499409337995546,-0.0030269754620731717,-0.011986469874898951,-0.024343089625135258,-0.029117318426871836,0.004901631209210949,-0.06733891716935729,0.06508504126661739
FBXO6,-0.009708322611935433,0.0077501677738475265,-0.007379276320177349,-0.017858038934547762,0.008156578744602721,-0.028324310107315606,0.03028840516280461,0.0021370104928637307
MAD2L2,-0.015461573885015456,0.0271647900540322,0.23476650102077626,0.017336727174331865,0.09576533274875931,-0.03768573645083568,0.030296951990322448,-0.08373730001104807
