lineage,gene,correlation,p_value,pct_cells
Plasmacytoid DC,IL3RA,0.48040478639633094,0.0,0.01686182669789227
Plasmacytoid DC,PROC,0.46657165592057825,0.0,0.0038771792870153526
Plasmacytoid DC,SHD,0.46012350397350155,0.0,0.003981264637002342
Plasmacytoid DC,DERL3,0.45211379780541106,0.0,0.029300026021337498
Plasmacytoid DC,PTCRA,0.44742224113020934,0.0,0.006479313036690086
Plasmacytoid DC,ITM2C,0.44489124726575674,0.0,0.09245381212594328
Plasmacytoid DC,JCHAIN,0.43752784403229594,0.0,0.0750975800156128
Plasmacytoid DC,UGCG,0.4350901293634857,0.0,0.043429612282071296
Plasmacytoid DC,LRRC26,0.4209156781669286,0.0,0.0056726515742909185
Plasmacytoid DC,IRF7,0.41827629291084023,0.0,0.06422066094197242
Plasmacytoid DC,ASIP,0.413532964779362,0.0,0.00195160031225605
Plasmacytoid DC,CCDC50,0.4117080454107354,0.0,0.05990111891751236
Plasmacytoid DC,AC097375.1,0.3985353579978891,0.0,0.001327088212334114
Plasmacytoid DC,SCN9A,0.3836718675350131,0.0,0.00663544106167057
Plasmacytoid DC,PPP1R14B,0.375525374674408,0.0,0.05875618006765548
Plasmacytoid DC,TCF4,0.3730869338873612,0.0,0.07397866250325266
Plasmacytoid DC,MAP1A,0.370626188261341,0.0,0.00936768149882904
Plasmacytoid DC,AC119428.2,0.3701487012726278,0.0,0.0062971636742128545
Plasmacytoid DC,GAS6,0.36996260637055967,0.0,0.012256049960967994
Plasmacytoid DC,APP,0.3693607353149397,0.0,0.06533957845433255
Plasmacytoid DC,LILRB4,0.35186059675258374,0.0,0.02430392922196201
Plasmacytoid DC,SCAMP5,0.3470645906412596,0.0,0.0017694509497788186
Plasmacytoid DC,IRF8,0.34542548891504105,0.0,0.08495966692688005
Plasmacytoid DC,LGMN,0.34264128467857025,0.0,0.016627634660421546
Plasmacytoid DC,PPM1J,0.3408254705619181,0.0,0.0037210512620348686
Plasmacytoid DC,TNFRSF21,0.32066502330187,0.0,0.01717408274785324
Plasmacytoid DC,PACSIN1,0.3149748094973621,0.0,0.0019776216497527973
Plasmacytoid DC,MZB1,0.3116789921102112,0.0,0.0648191517043976
Plasmacytoid DC,AL096865.1,0.31095342758720423,0.0,0.004085349986989332
Plasmacytoid DC,IRF4,0.3108865326966625,0.0,0.024121779859484778
Plasmacytoid DC,PHEX,0.3074579469810235,0.0,0.0018995576372625553
Plasmacytoid DC,DNASE1L3,0.30520288625728087,0.0,0.006375227686703097
Plasmacytoid DC,FCER1A,0.30015160236460275,0.0,0.02529274004683841
Plasmacytoid DC,LINC00996,0.29060304358864175,0.0,0.004241478011969816
Plasmacytoid DC,RASD1,0.28956026570639987,0.0,0.007129846474108769
Plasmacytoid DC,ZFAT,0.2887434317602284,0.0,0.007832422586520947
Plasmacytoid DC,KCNK17,0.28235367365532626,0.0,0.003200624512099922
Plasmacytoid DC,SLC15A4,0.280564831442348,0.0,0.031563882383554516
Plasmacytoid DC,TGFBI,0.27471617827947814,0.0,0.04923237054384595
Plasmacytoid DC,PTPRS,0.27439859544983314,0.0,0.0020036429872495446
Plasmacytoid DC,NOTCH4,0.2726268727996532,0.0,0.004501691386937289
Plasmacytoid DC,RHEX,0.2713383726313747,0.0,0.005724694249284413
Plasmacytoid DC,BCL11A,0.2694646728201355,0.0,0.10863908404892011
Pre-B large,IGLL1,0.6736548054132301,0.0,0.05238095238095238
Pre-B large,VPREB1,0.5447408664861547,0.0,0.028311215196461098
Pre-B large,UHRF1,0.5308470308045672,0.0,0.04644808743169399
Pre-B large,STMN1,0.47154053001568236,0.0,0.17429091855321363
Pre-B large,TYMS,0.45513476247278084,0.0,0.07390059849076243
Pre-B large,NUSAP1,0.4383625963048326,0.0,0.052276867030965395
Pre-B large,MKI67,0.41805791145111293,0.0,0.04660421545667447
Pre-B large,CDCA7,0.3961377972159335,0.0,0.04022898776997138
Pre-B large,PCLAF,0.38611098685910206,0.0,0.09193338537600833
Pre-B large,AURKB,0.3776589638413959,0.0,0.03198022378350247
Pre-B large,PIMREG,0.37749108617705274,0.0,0.004007285974499089
Pre-B large,DNTT,0.36391430281952775,0.0,0.01735623211033047
Pre-B large,ASF1B,0.35968592922570775,0.0,0.03203226645849597
Pre-B large,ZWINT,0.3572029989253084,0.0,0.05534738485558158
Pre-B large,TOP2A,0.353640978659996,0.0,0.04735883424408015
Pre-B large,TUBB,0.35165232272252894,0.0,0.23434816549570647
Pre-B large,PCNA,0.3477910794611291,0.0,0.10759823054905022
Pre-B large,PHGDH,0.3463950392092594,0.0,0.03218839448347645
Pre-B large,FAM111B,0.34134718387682006,0.0,0.014962269060629717
Pre-B large,TUBA1B,0.34072387043809,0.0,0.3129846474108769
Pre-B large,SOX4,0.3388367438037916,0.0,0.11199583658600053
Pre-B large,CLSPN,0.3387333417778451,0.0,0.03793911007025761
Pre-B large,UBE2C,0.3370239084101969,0.0,0.04402810304449649
Pre-B large,RRM2,0.3351709902144023,0.0,0.04028103044496487
Pre-B large,CD24,0.3347530590546781,0.0,0.05162633359354671
Pre-B large,SMC4,0.33342394330889175,0.0,0.08943533697632058
Pre-B large,SPC25,0.332738279118937,0.0,0.024225865209471766
Pre-B large,CDCA5,0.3303072548026268,0.0,0.03101743429612282
Pre-B large,CENPF,0.3279699703408044,0.0,0.05071558678116055
Pre-B large,BIRC5,0.3271021421580415,0.0,0.05407233931824096
Pre-B large,CDT1,0.32132949685071094,0.0,0.05160031225604996
Pre-B large,TMSB15A,0.319834640047229,0.0,0.00351288056206089
Pre-B large,HIST1H4C,0.3172438416220942,0.0,0.14147801196981524
Pre-B large,GINS2,0.31330086516474737,0.0,0.04514702055685662
Pre-B large,RAD51AP1,0.31110668478911463,0.0,0.043273484257090815
Pre-B large,TK1,0.3083458584732406,0.0,0.052354931043455635
Pre-B large,MCM7,0.3080647789464287,0.0,0.09138693728857664
Pre-B large,CMTM8,0.30586811733912245,0.0,0.02505854800936768
Pre-B large,CFAP73,0.30105273338537447,0.0,0.009185532136351808
Pre-B large,E2F2,0.3010050325430094,0.0,0.011527452511059069
Pre-B large,CENPU,0.29662996107739525,0.0,0.06167056986729118
Pre-B large,VPREB3,0.29441728860506083,0.0,0.08253968253968254
Pre-B large,MAD2L1,0.29426652948843274,0.0,0.07564402810304449
Pre-B large,NREP,0.29216549571635503,0.0,0.04795732500650533
Pre-B large,H2AFZ,0.29087142069782307,0.0,0.32466822794691647
Pre-B large,PDLIM1,0.2891509278317172,0.0,0.07889669529013792
Pre-B large,FABP5,0.285547289402342,0.0,0.10309653916211294
Pre-B large,CRNDE,0.28262005482655156,0.0,0.01366120218579235
Pre-B large,HELLS,0.2813181254294438,0.0,0.050871714806141034
Pre-B large,NASP,0.27739963134457146,0.0,0.14561540463179806
Erythroid late,AHSP,0.6215574305259575,0.0,0.06416861826697892
Erythroid late,CA1,0.5653172636275189,0.0,0.05644028103044497
Erythroid late,HBB,0.563153693626935,0.0,0.29018995576372625
Erythroid late,HBA1,0.5415371448359398,0.0,0.15209471766848817
Erythroid late,HBD,0.5079756416513764,0.0,0.05969294821753838
