resource,source,target,ligand_complex,receptor_complex,donor_significant,significant_full
consensus,CD4 T memory,CD8 T cytotoxic,HLA-C,CD8A,3,False
consensus,Plasmacytoid DC,CD8 T cytotoxic,HLA-B,CD8B,3,False
consensus,CD8 T memory,NK,B2M,KLRC2,3,False
consensus,Monocyte classical,Dendritic cell,S100A12,CD36,3,False
consensus,CD4 T memory,Monocyte non-classical,HLA-C,LILRB2,3,False
consensus,Dendritic cell,Erythroid early,S100A9,CD36,3,False
consensus,Dendritic cell,Dendritic cell,B2M,CD1C,3,False
consensus,Dendritic cell,CD8 T memory,HLA-B,CD8B,3,False
consensus,Monocyte non-classical,Dendritic cell,TIMP1,CD63,3,False
consensus,Monocyte non-classical,CD8 T memory,HLA-B,CD8B,3,False
consensus,Monocyte non-classical,CD4 T memory,HLA-B,CD3D,3,False
consensus,Monocyte non-classical,CD8 T cytotoxic,HLA-B,CD8B,3,False
consensus,Monocyte classical,Plasmacytoid DC,VCAN,SELL,3,False
consensus,Monocyte non-classical,B naive,LGALS1,CD69,3,False
